,video_id,definition,categoryID,likes_to_views,duration_to_views,captioning,dislikes_to_views,title_length,subscriber_count,descrp_length,publish_month,numVides_on_Channel,popularity,likes_to_dislikes,views_to_subscribers,views_to_daysActive
0,epUk3T2Kfno,0,15,0.003836127,7.53862e-06,0,0.000122069,20,1524,83,3,22,1,31.41433499,7.13248e-05,6291.827739
1,_TP-ZzKbXJk,0,19,0.002016619,7.77046e-05,0,0.000124574,28,114,352,9,5,1,16.2029703,7.0294e-05,504.4354588
2,NEjz111Hsaw,0,19,0.010038072,0.000370868,0,0.000522773,32,3353,1,2,18,1,19.15665796,0.004563044,373.4984678
3,1SqBdS0XkV4,0,15,0.006935206,7.63009e-05,0,0.000117176,78,5653,639,2,315,1,59.18992248,0.00257101,948.8354158
4,5ZBTNENUaOU,1,23,0.009235762,4.84543e-05,0,0.000250822,32,599930,622,7,307,1,36.83333333,0.56374761,582.0138198
5,sVn9gqAD1LE,0,15,0.005535744,1.2923e-05,0,5.11046e-05,16,105,43,8,25,1,108.3103448,6.16498e-05,796.2454418
6,CLDSE7RHvno,0,15,0.007193761,2.40451e-05,0,0.000247347,13,385,89,9,2,1,29.08741522,7.17509e-05,2515.604313
7,#NAME?,0,1,0.001827826,2.67713e-05,1,0.001111694,31,168007,98,6,396,1,1.65502385,0.028608616,1594.561275
8,#NAME?,1,29,0.002139784,0.000207197,0,4.52067e-05,40,42,0,11,122,1,47.33333333,5.27324e-05,387.5790754
9,xFi7C8gCyQs,1,15,0.005874652,1.34972e-05,0,0.000113039,15,41,57,4,2,1,51.97014925,6.91708e-05,312.2950474
10,V5e73Gk2lLg,0,23,0.001482724,4.31374e-05,0,4.71502e-05,20,1012,108,1,499,1,31.44680851,0.001015171,605.2677596
11,dTAAsCNK7RA,0,10,0.006791761,1.13706e-05,0,0.000104204,26,5762160,73,2,6189,1,64.93168993,0.180329977,11984.33246
12,3oem-M2tQU4,1,24,0.01105945,1.06981e-05,0,0.000326201,32,736752,1239,9,58,1,33.8856191,0.133852125,3955.523297
13,a1Y73sPHKxw,0,23,0.003759283,1.32e-07,0,0.000114643,17,5635,39,6,1,1,32.82345065,0.00012385,13797.66374
14,LJ0sDES7Dpc,0,23,0.003656807,2.12387e-05,0,9.12015e-05,15,65,132,8,3,1,40.20547945,8.11673e-05,370.233472
15,Pi1uQV4wJ0Q,0,15,0.001745923,0.000205202,0,0.000268472,17,42,17,8,13,1,6.503184713,7.1818e-05,179.9421538
16,AEPvSo8bE2I,0,23,0.002299387,5.98e-07,0,7.97962e-05,86,14389,65,8,12,1,28.79208979,0.000614588,13049.49331
17,YIMigVo1pyA,1,15,0.002661975,3.15254e-05,0,0.000103675,22,783,163,3,6,1,25.61775586,0.000100416,4053.754413
18,xHMkBFreJLA,0,15,0.0035076,7.21384e-05,0,0.000116572,18,205,52,3,2,1,30.0941704,0.000107134,983.2903392
19,uHIVQFOT0Vk,1,22,0.005505071,9.82352e-05,0,0.000102491,29,770,53,3,43,1,53.73356401,0.000272647,1458.37332
20,nzOJ7-LQFHo,0,23,0.002944843,4.36825e-05,0,8.73651e-05,24,54,74,6,1,1,33.70731707,5.75299e-05,284.6097635
21,y9HiJVBA0CE,1,23,0.000515822,1.82055e-05,0,4.72239e-05,28,23934,327,11,1058,1,10.92523364,0.002644093,4408.366245
22,EwTZ2xpQwpA,0,10,0.006996245,4.89523e-06,1,0.000943631,44,1008634,2923,4,92,1,7.423045892,0.00925809,32421.82748
23,EmcMG4uxiHk,1,20,0.010936001,8.93308e-05,0,0.000190027,60,1563523,59,12,695,1,57.5400898,0.186938098,4013.136631
24,Ig-pZ4OyidY,0,23,0.009777087,0.000182144,0,0.000163945,33,10968,197,8,20,1,59.64199815,0.001662648,3069.383899
25,iu6yofL8m4o,0,23,0.001651797,2.67678e-05,0,0.000247045,40,560,20,11,101,1,6.693002257,0.000312585,867.0115942
26,iurBQbs8iy8,0,25,0.002370759,2.56832e-05,0,0.000552683,44,23483,148,4,6,1,4.292225201,0.011592411,1303.164736
27,oXsTexVtnMQ,0,23,0.008808785,0.000160245,0,0.000246483,36,576877,283,9,595,1,35.73062262,0.18083398,1504.371523
28,dwGm0v0BJbw,0,22,0.00917194,3.76015e-05,0,0.000893975,11,142,68,4,4,1,10.26182965,0.000133448,559.1623752
29,v9Bj_W16kEw,0,15,0.001708832,8.25363e-05,0,2.24499e-05,50,54,189,4,25,1,76.14705882,3.56405e-05,671.0062002
30,g3jOlQqDPzQ,1,23,0.001375624,7.18467e-06,0,7.63969e-05,31,73,68,2,12,1,18.00626959,1.74823e-05,2606.521848
31,LbNl3J8HXw4,0,23,0.004607473,2.56446e-06,0,6.95253e-05,41,2113,28,12,60,1,66.17598909,0.000200005,6347.042797
32,cQhHHMmPKc4,1,24,0.003939989,5.41818e-05,0,0.000263963,70,3973,429,6,101,1,14.92631579,0.00552589,327.6668184
33,_tmMZv62BX4,1,17,0.002085931,2.26036e-06,0,5.57554e-05,56,440,26,4,51,1,37.41441441,5.52413e-05,4154.955138
34,hx10K3n5_Oc,0,23,0.003777226,3.2386e-05,0,7.84081e-05,22,1456,351,2,53,1,48.17391304,0.002480083,366.4422236
35,j9LBLSL5gz0,0,15,0.004203375,4.35959e-05,0,0.000288823,17,9761,36,4,103,1,14.55345912,0.017708615,208.7686765
36,vR_VhfxAnXU,0,22,0.006605629,1.01995e-05,0,0.00014489,25,6239,40,2,3,1,45.59530938,0.000451145,7047.214468
37,KZ-slvv_ZT4,0,27,0.004169773,1.20998e-05,0,0.000125031,26,308,153,5,18,1,33.35235732,9.55431e-05,2133.472535
38,WLveMNQ9U9w,0,15,0.005998466,3.43278e-05,0,9.89149e-05,29,822,1050,3,5,1,60.67095116,0.000208956,1705.175119
39,PjNF7HoQ6yY,0,17,0.001538762,4.71628e-05,0,0.000127459,18,7027,239,1,395,1,12.05607477,0.002095821,1670.346288
40,8Qt95KUOX_8,0,23,0.005084496,4.86555e-05,0,0.000282681,23,603,207,11,2,1,17.99273608,0.000206398,2178.627144
41,muc0kaQtCMU,0,24,0.004938034,5.94288e-05,0,0.000245639,46,2562,93,11,147,1,20.10483871,0.000635296,1949.353764
42,TGASrdILe6c,0,17,0.002165322,2.20701e-05,0,7.23409e-05,28,54,95,2,6,1,30.03389831,6.61861e-05,416.4783053
43,YA82swbxyO8,0,22,0.002464229,0.000235302,0,7.57481e-05,20,5965,216,3,22,1,32.53191489,0.009671535,395.7806122
44,DzwwVZRRIro,1,17,0.005063381,0.000153914,0,0.000161807,69,81,78,1,5,1,31.2,8.06794e-05,508.6926927
45,LCYPGnJdO1U,1,43,0.007246619,3.50932e-05,0,0.000184307,29,1136236,622,12,428,1,39.36434868,0.100948127,4648.329422
46,NsMww3hJ3bY,0,17,0.007326915,4.37186e-05,0,0.00018378,14,177,50,5,6,1,39.87665198,0.000142484,816.40846
47,R_B1PkgA3kA,0,24,0.001087685,2.41951e-05,0,6.71218e-05,35,180014,1501,4,15852,1,16.21395349,0.028099856,4179.985007
48,Dsg8JccRZCw,0,15,0.003163975,1.27492e-06,0,4.4622e-05,38,412,63,11,3,1,70.95102041,7.4631e-05,1748.471992
49,PzQadza_vlA,0,22,0.003718975,2.00424e-05,0,8.57368e-05,14,126,14,10,1,1,43.37662338,0.000140259,253.9836019
50,d5mK7dzyUkM,1,23,0.007244334,5.06597e-06,0,3.9804e-05,46,513,188,2,9,1,182.0654545,7.3794e-05,3527.887698
51,3dJy_fV2Wzg,0,23,0.007501142,1.69217e-05,0,0.000113617,53,88,79,12,6,1,66.03546099,7.08999e-05,741.0071642
52,0Au_8GMUxVs,0,23,0.002702355,2.10079e-05,0,7.04227e-05,37,569,217,4,11,1,38.37898687,7.50215e-05,3336.783164
53,VoH96OLrrHk,0,22,0.001220939,2.84975e-06,0,9.33292e-05,49,5228,117,3,138,1,13.10114504,0.000938212,3561.870006
54,FuuUR515xDM,0,23,0.005138728,7.52568e-06,0,0.000129573,15,295,95,5,6,1,39.66414141,9.61924e-05,2004.179672
55,lYr5UPHPcOY,0,24,0.002689798,3.32074e-05,0,0.000141131,8,43,35,3,13,1,19.05882353,4.46176e-05,611.9022222
56,WJq4jWSQNd8,0,23,0.007258749,5.01e-07,0,0.000132339,13,1306,99,6,3,1,54.89267677,0.000216905,2697.65045
57,gwUX4cSwrRk,1,23,0.008892494,1.23354e-05,0,0.0002045,59,1899176,544,1,277,1,43.52271035,0.032150149,36310.66749
58,kfVsfOSbJY0,1,10,0.006067693,4.23519e-06,0,0.022665366,45,1289451,395,9,154,1,0.26665291,0.0133394,55136.81357
59,ytHUb9U6i7I,1,24,0.002886022,5.40225e-06,0,0.000281963,32,452,9,1,1,1,10.23765432,7.8532e-05,2880.081745
60,46wdNU8ndUc,0,22,0.031369155,0.000425166,0,0.00129752,10,1011169,90,1,174,1,24.17885117,1.722840815,249.2224567
61,hya9xxn7CA0,0,24,0.00298543,5.37833e-06,0,0.000176391,51,810,282,7,2,1,16.91894682,7.3706e-05,6027.477759
62,ufdlOj1SbVo,0,23,0.005941178,0.000103548,0,0.001451331,37,1048,409,6,10,1,4.104903079,0.000869926,652.1810345
63,7xrU5BxaPWo,0,24,0.013194912,0.000112673,0,0.000925845,9,1804033,334,11,299,1,14.23703203,0.376653837,2332.059454
64,s_xKK6beECU,0,15,0.002564604,1.4725e-05,0,0.0001178,41,6314,102,3,61,1,21.78125,0.003873526,708.7414168
65,flMYR_qeyNc,1,23,0.005035149,5.19048e-06,0,9.26597e-05,18,1616,156,10,5,1,54.34854772,0.000310637,2489.09378
66,ggg3C87UVCY,1,28,0.008385473,4.06755e-05,0,0.000494132,25,0,1050,2,57,1,16.9847561,0.0,2064.247205
67,_OBlgSz8sSM,0,23,0.001851871,6.66e-08,0,0.000274784,31,334055,775,5,54,1,6.743554055,0.000397465,252391.0018
68,6bVa6jn4rpE,0,25,0.002469451,3.47051e-05,0,0.000187723,52,962,360,9,236,1,13.15885234,0.000126678,2367.714063
69,qaIFr3M67vI,0,23,0.008028505,0.000241223,0,5.89248e-05,23,503,47,10,64,1,136.25,0.000926204,259.969842
70,TUwid-nesg8,1,17,0.00040442,1.79476e-05,0,3.94848e-05,41,3148,1133,9,406,1,10.24242424,0.003772452,393.3157647
71,6gPJo25sb80,0,23,0.001650886,1.20016e-05,0,7.20096e-05,28,4153,1144,11,115,1,22.92592593,0.001847425,1088.084623
72,RP4abiHdQpc,0,23,0.003249154,1.90616e-06,0,0.000128282,54,74565,408,1,32,1,25.31106491,0.000869263,43316.71192
73,tBb4cjjj1gI,0,1,0.003707685,3.16569e-05,1,0.000146681,52,2749975,2624,4,131,1,25.28725038,0.309564126,3373.536854
74,7cSudpyEU9w,0,24,0.003214912,9.48e-07,0,0.00010788,19,15398,189,12,22,1,29.75155455,0.000470049,16222.50793
75,I4S2Gu7ZDT0,0,23,0.005310247,6.91613e-06,0,0.000170003,28,1385933,98,8,901,1,31.23622047,0.309004044,1784.384952
76,xYapljom1XI,0,22,0.004425477,0.000156852,0,0.000364631,42,708686,112,1,618,1,12.13687151,0.722686859,359.4033675
77,0UIdI8khMkw,0,22,0.003292174,1.26644e-06,0,9.32473e-05,33,1481,0,11,1,1,35.29311212,6.95497e-05,10315.85438
78,0_eR0PmDXfs,1,23,0.000968098,0.000207506,1,4.81287e-05,41,91,328,10,5,1,19.90322581,7.39213e-05,735.0416185
79,LU_qVnISDXQ,1,10,0.006227636,4.29268e-05,0,0.000168455,57,521,623,1,0,1,36.96911197,0.00016878,1527.57228
80,9UywRu8QPXA,0,17,0.000786362,3.05149e-05,0,0.00019373,62,4553,623,4,63,1,4.058884298,0.001023925,3224.150968
81,NJLrcG64ulU,0,22,0.006043711,2.61038e-05,0,0.000361331,29,1254,84,8,52,1,16.72813688,0.00086206,675.2388683
82,9iLaoEhrkDc,0,23,0.007534087,6.61249e-05,0,0.000106837,27,1052,553,12,30,1,70.55582524,0.00027345,1621.733501
83,k9iOxL4C0u8,0,22,0.003018718,6.8029e-05,0,0.000275435,20,135,57,8,8,1,10.95983936,7.46525e-05,555.5698925
84,k-INUzgV_SY,1,22,0.005364142,4.24288e-06,0,0.000206922,28,617,1992,11,79,1,25.87578616,0.000100504,4605.427607
85,YZEbBZ2IrXE,1,24,0.005147928,1.18426e-05,0,0.000118067,37,182,38,4,1,1,43.49393939,6.52954e-05,1467.016316
86,lwDHK0REuMs,1,23,0.006609569,1.40033e-05,0,0.000411418,32,576875,283,2,595,1,16.06122449,0.1615541,1812.054287
87,IgIxlxiqvdM,0,2,0.001800515,2.26956e-05,0,4.53911e-05,51,62,75,5,17,1,39.69047619,6.69836e-05,613.3863486
88,J---aiyznGQ,0,23,0.007165389,1.24104e-06,0,0.000272238,47,106507,692,6,219,1,26.37772076,0.002404774,13386.74608
89,0VuIShM5kAQ,0,26,0.00236058,5.05261e-06,0,7.14944e-05,35,2784,0,8,28,1,33.02826855,0.00070415,1573.056019
90,NXE2U3TDZwM,0,25,0.00082831,8.7851e-05,0,9.86083e-05,47,105,179,10,12,1,8.406060606,6.27342e-05,681.7625255
91,ee925OTFBCA,1,1,0.00477677,6.86e-07,0,0.000146004,13,10025,42,4,3,1,32.76041924,0.000181679,24399.73471
92,fAis3VOjBXY,0,2,0.0024831,1.19036e-05,0,3.9282e-05,13,5614,666,2,207,1,63.21212121,0.006669381,525.3958724
93,olLp8Cssh_M,0,23,0.003406843,1.11269e-05,0,4.78792e-05,62,1355,26,5,117,1,71.16197183,0.000457811,1323.644801
94,BScrP-lW60E,0,25,0.003129812,0.00019709,0,5.09333e-05,11,6889,198,2,29807,1,61.47826087,0.005087044,686.7769894
95,uxkr4wS7XqY,0,24,0.00219177,3.34055e-05,0,0.000665635,28,637,61,2,2,1,3.292103517,5.62827e-05,2979.95366
96,Pb8UBl_rWwk,0,23,0.002594539,0.000694684,0,0.000288136,20,63,108,10,2,1,9.00456621,8.28848e-05,362.1205336
97,BPnP_zlYU44,1,23,0.015271303,2.17065e-05,0,0.000471482,16,602367,661,8,427,1,32.42063216,0.049301777,6862.038202
98,lvD8WcrdK5o,0,23,0.003260481,1.5429e-05,0,0.000199475,21,1086,44,11,70,1,16.3480663,0.000598355,650.2959513
99,EYoJTAUK0UM,0,23,0.006054195,4.28291e-06,0,0.000184777,8,622,130,2,6,1,32.77152318,0.000380526,1028.037107
100,S2HIda5wSVU,1,1,0.001615397,7.14488e-06,1,0.000210657,36,307962,580,3,91,1,7.673908224,0.01436949,9281.984402
101,ErMWX--UJZ4,0,10,0.006652118,2.30495e-06,0,0.000182061,18,106026,0,12,6,1,36.4955007,0.00159694,27634.25094
102,eTosQerWBzU,0,24,0.002389063,7.44257e-06,0,0.005899887,30,3966,20,2,1,1,0.405073937,0.000820062,1412.80403
103,5YGc4zOqozo,0,10,0.005682692,3.27093e-05,0,0.00011907,21,12871,1600,7,28,1,47.73301486,0.000813653,6188.40493
104,BymeLkZ7GqM,0,1,0.006059071,6.14043e-05,0,0.000183829,86,12465,781,1,63,1,33.03131524,0.00480835,1110.598127
105,y7FJRbSGb5c,0,23,0.002744772,1.62477e-05,0,8.44879e-05,27,197,37,11,21,1,32.48717949,0.000106688,525.173777
106,tEIGqD80N6U,0,15,0.000845071,5.5861e-05,0,0.001035913,26,1223,390,3,64,1,0.81616239,0.000243069,1879.08874
107,MyZwDcLGknU,0,23,0.003121699,8.63478e-06,0,0.000130431,17,441,154,12,19,1,23.94250871,0.000100648,2640.367127
108,llHKUzjggg4,0,23,0.005594045,0.000233768,1,0.001398139,15,144,518,1,24,1,4.001064963,0.000214374,217.1053652
109,BQRMvg5TAl8,0,24,0.004386759,1.92075e-05,0,5.93895e-05,29,416635,253,2,1146,1,73.82299742,0.032075287,6573.362948
110,Vw4KVoEVcr0,0,15,0.00578485,2.06186e-06,0,0.000135197,24,679,274,5,2,1,42.78868448,1.16689e-05,31442.40921
111,U8vxgjdCtQU,0,15,0.001939292,4.97254e-05,0,3.78861e-05,19,1605,682,4,53,1,51.1875,0.001917661,371.821743
112,tHqFWYYOUAM,1,10,0.012819191,6.51975e-05,0,0.000154844,99,626698,3146,4,652,1,82.45348837,0.080957951,4032.501042
113,nGeKSiCQkPw,0,24,0.004376551,7.83e-07,1,9.68279e-05,18,1213430,225,5,47,1,45.1732288,0.006733168,95260.24577
114,qybUFnY7Y8w,1,10,0.005425594,7.8615e-06,0,8.9154e-05,68,571958,709,3,209,1,60.69459173,0.010858613,22750.13805
115,6B7fKzdJAbo,1,17,0.001889307,2.34245e-05,0,5.89651e-05,40,104,277,11,1,1,32.04109589,8.39857e-05,922.0446761
116,HdPZqW7Z_9A,1,15,0.006260049,2.19383e-05,0,6.17102e-05,35,19963,107,3,71,1,101.2448513,0.002824187,3640.028836
117,nW7KEPtNGvA,0,10,0.003195025,2.73181e-05,0,5.58239e-05,27,113,5,9,16,1,57.23404255,0.000135344,476.1435839
118,VgfDKRNT654,0,17,0.003274663,9.27229e-05,0,0.000196263,59,303,357,5,4,1,16.68503937,0.000232563,684.43945
119,ess9bRJ0bPw,0,17,0.00608228,5.57155e-06,0,0.00013056,35,484,240,1,22,1,46.65291607,8.96425e-05,2704.855422
120,7LduDVpjpdA,0,15,0.004507776,1.72359e-05,0,7.69601e-05,12,259,0,1,27,1,58.58854167,0.000105005,1258.252648
121,Q5im0Ssyyus,0,23,0.004080496,6.04778e-06,0,0.000360916,19,14059,94,5,13,1,11.30578478,0.000209355,18053.16133
122,6h3G-lMZxjo,0,25,0.001579918,2.06956e-05,0,0.00048443,14,614,175,3,3,1,3.261626068,9.41153e-05,1913.170088
123,wNf0QT9r97I,0,15,0.012254698,2.43082e-05,0,7.69759e-05,12,145,58,11,21,1,159.254386,9.85542e-05,872.9628757
124,cdPGXClOE5g,0,23,0.002013618,2.0216e-05,0,1.2768e-05,30,68,68,12,1,1,157.75,3.61586e-05,932.3767972
125,iLx6ZeJNjmg,0,24,0.004315543,0.00021096,0,6.97663e-05,79,1009,692,9,53,1,61.97619048,0.000847382,687.6094641
126,8z4MTp_lDGU,0,24,0.002825474,3.72547e-05,0,4.90193e-05,8,19872,99,7,144,1,57.64,0.038996739,232.142467
127,swt4tCzuCxg,0,22,0.003958586,2.01352e-05,0,0.000252697,30,255,87,10,24,1,15.66135458,0.000256712,405.4416327
128,DIrQ9ilL8aw,1,24,0.005033087,0.000103533,1,0.00010972,91,721,516,12,353,1,45.92857143,0.000296777,1873.406178
